Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
83.186,762.45,17.122,988.99,706.12,873.03,94.916,1.1411,0.13588,0.56333,0.049688,0.16933,0.21666,0.1139,0.093582,0.044868,0.040629,1.4278706196416953
79.106,762.47,17.011,989.15,706.19,865.21,90.38,1.1252,0.13578,0.56261,0.049857,0.16988,0.21731,0.1165,0.093779,0.044445,0.040019,1.4301698807533332
88.509,762.43,17.819,991.83,706.22,923.08,95.11,1.141,0.13579,0.57144,0.049656,0.16951,0.21667,0.10978,0.093645,0.044911,0.040611,1.4320066468771948
91.465,766.95,17.505,992.36,707.52,920.94,96.847,1.1378,0.13591,0.57872,0.049569,0.1692,0.21613,0.10908,0.093453,0.045198,0.04089,1.4381544967507998
91.752,766.51,17.619,991.33,707.53,927.73,97.021,1.1381,0.1359,0.58005,0.049567,0.16923,0.21616,0.10897,0.093469,0.045196,0.040899,1.4394388054840899
85.73,766.62,17.817,995.28,697.83,922.95,94.054,1.1376,0.13584,0.5783,0.049727,0.16987,0.21691,0.11145,0.093666,0.044731,0.040524,1.4410228734469694
90.769,766.96,17.22,997.24,707.55,920.93,96.997,1.1384,0.13587,0.58176,0.049527,0.16903,0.21603,0.10925,0.093429,0.045371,0.041025,1.4412933962080157
86.646,766.6,17.77,993.36,697.82,922.7,95.338,1.1501,0.13577,0.57933,0.049715,0.16968,0.21681,0.11102,0.093652,0.044815,0.040682,1.441479976730739
79.482,762.47,14.558,993.2,698.48,865.2,92.364,1.1814,0.13525,0.5639,0.049838,0.16915,0.21678,0.12729,0.093849,0.044905,0.040598,1.4415465053216108
79.944,762.47,16.395,997.19,707.3,865.12,91.409,1.1291,0.13575,0.579,0.04979,0.16953,0.21689,0.11645,0.093641,0.044837,0.040221,1.4461138995836875
