Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1090.7,0.21558,122.52,12.613,0.064523,0.12701,0.05531,0.16441,0.084604,0.070083,0.5659389359016163
1117.8,0.21431,123.98,18.387,0.062477,0.12978,0.055818,0.16399,0.084499,0.070665,0.5672280342900407
1117.6,0.21408,123.95,18.386,0.062479,0.12978,0.055817,0.16404,0.084502,0.070661,0.5672700523554386
1118.4,0.21408,123.94,18.318,0.062489,0.12977,0.055818,0.16419,0.084504,0.07066,0.5674384687366147
1117.0,0.21407,123.94,18.39,0.062479,0.12977,0.055817,0.16425,0.084504,0.070658,0.5674836034464278
1122.1,0.21354,124.04,18.385,0.062478,0.12978,0.055817,0.16437,0.084494,0.070669,0.5676117738568124
1117.8,0.21435,123.64,18.388,0.062476,0.12981,0.055817,0.16465,0.084484,0.070692,0.5679203740071115
1140.7,0.21081,123.54,18.074,0.062529,0.12982,0.05582,0.16468,0.084464,0.070729,0.5680409759448217
1130.0,0.21142,123.87,18.262,0.062504,0.12977,0.055817,0.16479,0.084497,0.070671,0.5680514185784029
1141.8,0.20912,123.88,18.127,0.06253,0.12977,0.055819,0.16522,0.084495,0.070677,0.5685136705892857
