Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1467.2,0.17179,124.91,6.8094,0.062163,0.12978,0.16507,0.092893,0.068017,0.054645,0.5725676467105383
1483.3,0.1696,125.57,6.8043,0.062136,0.12975,0.16522,0.092928,0.068028,0.054646,0.5727097975591784
1467.2,0.1718,125.09,6.8197,0.062183,0.12976,0.16532,0.092867,0.068009,0.054649,0.5727866362710298
1467.8,0.17222,124.81,6.7755,0.062093,0.12983,0.16523,0.092982,0.068041,0.054634,0.572809767555613
1467.0,0.17185,124.88,6.838,0.062227,0.12975,0.16543,0.092814,0.067994,0.054649,0.5728687808220883
1467.1,0.17198,124.9,6.8438,0.06224,0.12975,0.16566,0.092798,0.067988,0.05465,0.5730785087683318
1465.1,0.17225,124.89,6.8418,0.062236,0.12975,0.1658,0.092802,0.067989,0.05465,0.5732265526521997
1460.3,0.17302,124.62,6.8354,0.062229,0.12977,0.1658,0.092811,0.067991,0.054647,0.5732537013905951
1466.9,0.17267,124.47,6.8623,0.062291,0.12976,0.16639,0.092736,0.067968,0.054644,0.5737822241273667
1489.0,0.16854,125.01,6.7094,0.06193,0.12986,0.16682,0.093189,0.068111,0.054625,0.5745331119058653
