Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
181.07,174.36,148.34,963.03,4.0863,11.419,111.65,14.436,0.10528,0.25693,0.11474,0.25469,0.82294,0.016947,0.057351,0.10296,0.12412,1.8559590791747147
0.86292,228.23,138.21,0.045181,47.974,166.32,1.1562,14.814,0.16267,0.32975,0.20093,0.48277,0.51143,0.066222,0.024587,0.067291,0.091247,1.9368887580124177
7.2813,173.99,139.01,1.1838,1.1054,14.079,12.311,14.716,0.16096,0.34046,0.19343,0.66203,0.39242,0.045788,0.060302,0.064041,0.073501,1.9929340357917278
171.3,296.22,138.06,992.35,4.7976,15.155,112.88,15.13,0.10307,0.25499,0.11449,0.25325,1.0418,0.021056,0.061713,0.10614,0.1259,2.0824529214202223
153.43,291.31,145.26,958.46,4.7845,15.089,114.62,15.073,0.10317,0.2555,0.11424,0.36553,0.96315,0.019568,0.060807,0.1054,0.12438,2.1117395496445095
7.3587,174.38,138.76,1.1703,0.99586,14.391,12.227,15.715,0.16071,0.34067,0.19269,0.73432,0.44228,0.046431,0.059666,0.06376,0.073455,2.113991909528359
5.8471,316.43,138.98,0.72206,0.97087,14.675,8.7522,15.205,0.16688,0.34699,0.20078,0.82856,0.411,0.041356,0.062144,0.065463,0.073116,2.1962929584328177
139.19,313.45,139.24,3.9747,48.907,157.32,19.367,15.381,0.1306,0.29689,0.14441,0.98133,0.49398,0.024683,0.020762,0.077518,0.09684,2.2670104613159934
7.3516,330.29,138.53,1.1607,0.98424,14.391,12.364,15.734,0.16155,0.34194,0.19357,0.8747,0.45967,0.045019,0.059166,0.064181,0.073385,2.273178072129087
158.28,308.63,139.44,990.1,7.8596,39.893,111.22,15.413,0.10103,0.25354,0.11449,0.41429,1.0717,0.0256,0.062931,0.10885,0.1272,2.279579473139719
