Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
545.78,0.49948,136.11,7.2384,0.1252,0.09667,0.030549,0.25763,0.80855,0.1128,0.31128,0.031259,0.13276,1.9067022818608317
584.9,0.419,140.23,6.0086,0.13069,0.10018,0.040166,0.25416,0.99191,0.11221,0.16864,0.033409,0.13713,1.968500027831585
533.4,0.48081,139.02,7.2512,0.12537,0.096766,0.029854,0.25766,0.7934,0.11287,0.46077,0.031526,0.13288,2.0410955581327843
542.18,0.48251,134.18,7.2703,0.12512,0.096736,0.030439,0.25762,0.96447,0.11276,0.33879,0.03135,0.13285,2.0901391907665863
500.27,0.46926,141.26,7.0435,0.12652,0.096398,0.028608,0.25809,1.0796,0.11349,0.25584,0.031434,0.13317,2.1231197716038244
541.65,0.50278,130.77,7.2532,0.1251,0.096364,0.030398,0.25792,0.98088,0.11293,0.35677,0.030941,0.13258,2.1238762020402238
540.99,0.47749,139.15,7.246,0.12532,0.096958,0.030338,0.25744,0.79052,0.11272,0.56921,0.031634,0.13302,2.1471539298441966
622.08,0.38138,144.75,6.4197,0.12856,0.10104,0.040496,0.25324,1.1141,0.11094,0.2505,0.034399,0.13722,2.170486837854093
525.83,0.47567,139.64,7.2468,0.12548,0.096697,0.029462,0.25777,0.82374,0.11297,0.57063,0.031552,0.13288,2.1811829996915795
597.37,0.43857,137.53,6.2995,0.12903,0.099449,0.038893,0.25455,0.96178,0.11197,0.4186,0.032885,0.13638,2.1835341568300914
