Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
1065.0,0.27625,119.99,3.545,0.20129,0.072553,0.1399,0.059023,0.054559,0.12092,0.6482513315076368
1029.9,0.28434,121.01,4.084,0.21963,0.070498,0.13692,0.056615,0.054357,0.1123,0.6503159689158649
1053.1,0.28198,120.02,3.7725,0.21172,0.071498,0.13863,0.057921,0.054207,0.11711,0.6510829001204913
1050.2,0.28048,121.48,3.7619,0.21307,0.071556,0.13865,0.057978,0.05423,0.11729,0.6527801071836506
1029.4,0.28069,121.27,4.0808,0.22384,0.070521,0.1369,0.056611,0.054361,0.11233,0.6545691287292502
1030.6,0.28563,121.04,4.0813,0.2241,0.070501,0.13695,0.056634,0.05435,0.11235,0.6548813712395815
1051.0,0.28368,119.66,3.5404,0.21105,0.072495,0.13994,0.059002,0.054545,0.12083,0.657867370867013
1029.7,0.28485,119.76,4.2163,0.23141,0.070157,0.1363,0.056177,0.054566,0.11048,0.6590827872366687
1021.3,0.2872,121.86,4.0158,0.22963,0.070681,0.13723,0.056847,0.054288,0.11323,0.6619024941056836
1034.2,0.28951,120.12,3.8193,0.22518,0.071245,0.13837,0.057652,0.054187,0.11617,0.6627953121632846
