Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g262),Error (g207),Error (g101),Error (curve),Error (g240),Error (g95),Error (g14),Error (g287),Reduced Error
770.47,568.19,16.342,3.1854,874.13,828.71,29.538,16.98,0.10842,0.13796,0.057803,0.07427,0.37567,0.22997,0.12484,0.049444,0.12782,1.286196414398669
770.47,568.19,16.342,3.1854,853.1,835.29,29.538,16.98,0.10863,0.13791,0.057589,0.074067,0.38277,0.22994,0.12469,0.04952,0.12768,1.2927896489722677
777.51,547.87,686.43,119.76,39.735,698.12,60.463,17.175,0.10532,0.13624,0.039209,0.041097,0.44005,0.22072,0.16158,0.051786,0.098844,1.2948492347758067
777.28,567.1,686.3,116.4,39.834,695.21,59.97,17.0,0.10529,0.136,0.039324,0.04139,0.44115,0.22073,0.16118,0.051715,0.099038,1.295820492876383
777.34,547.89,692.74,118.47,38.4,662.12,60.142,17.017,0.10537,0.13626,0.039398,0.041447,0.44947,0.22095,0.16217,0.051597,0.098776,1.3054368175911624
782.28,548.42,687.68,115.84,56.016,700.78,60.818,16.967,0.1053,0.13503,0.03807,0.040621,0.46676,0.22043,0.15733,0.050773,0.10029,1.3146070770921885
780.32,547.92,625.46,111.55,40.345,705.55,59.714,17.01,0.10551,0.13628,0.038586,0.040626,0.46269,0.22061,0.16133,0.052246,0.098742,1.3166156143625647
777.96,548.47,681.6,119.81,40.064,647.49,61.206,16.962,0.10541,0.13613,0.039094,0.041159,0.46409,0.2209,0.16193,0.051598,0.098804,1.3191029417946263
777.91,548.26,679.35,121.4,39.046,683.68,61.234,16.967,0.10536,0.1363,0.039178,0.040924,0.49001,0.22074,0.16203,0.051934,0.09865,1.3451261628689362
771.98,563.72,16.306,2.8203,946.35,847.44,29.163,16.97,0.10746,0.13808,0.05885,0.0756,0.43386,0.22994,0.12539,0.048943,0.12859,1.3467096870580966
