Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
528.28,0.61173,127.76,11.936,6.9516e-05,0.12992,0.066192,0.08877,0.055591,0.064158,0.24015,0.6447903364542109
527.91,0.61375,127.61,11.926,6.9518e-05,0.12989,0.06619,0.088769,0.055581,0.064165,0.24241,0.6470019373170725
528.59,0.59306,128.29,13.096,6.9515e-05,0.1309,0.066939,0.087979,0.05585,0.063601,0.24217,0.647438615651145
533.66,0.60345,126.84,11.942,6.5505e-05,0.12985,0.066061,0.088936,0.055546,0.064243,0.24838,0.6530131837774149
533.66,0.60345,126.84,11.942,6.5409e-05,0.12984,0.066058,0.088939,0.055544,0.064245,0.24875,0.6533755075453564
520.8,0.60619,129.22,11.942,7.1048e-05,0.13,0.066226,0.08871,0.055647,0.064131,0.25297,0.6576805083914676
533.64,0.60787,126.82,11.942,6.5514e-05,0.12978,0.066072,0.088913,0.055527,0.064243,0.25444,0.6589792731163706
537.87,0.59786,126.31,13.321,6.9599e-05,0.13112,0.067112,0.087834,0.055849,0.063489,0.25552,0.6609239609447219
525.72,0.6098,126.89,13.198,6.5535e-05,0.13053,0.066909,0.087982,0.055717,0.063654,0.25721,0.6620121001293686
546.28,0.58024,127.16,11.921,6.5565e-05,0.13028,0.065961,0.089111,0.055647,0.064213,0.25737,0.6625871492149922
