param_type,param_name,in_l_bound,out_u_bound,base,in_u_bound,out_l_bound
input,cp_tau_s,2.5016616504740843,1,10,3.5868572484172545,0
input,cp_b,0.03885850155976583,1,10,0.9723370877762842,0
input,cp_tau_0,0.022964206517992806,1,10,2.642820515556661,0
input,cp_n,0.30792370361188165,1,10,1.2775862957847632,0
input,average_strain,-2.0628885088468123,1,10,-0.5436339668709569,0
output,average_stress,1.415424112076535,1,10,3.880104427860843,0
