Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1372.7,0.1978,126.55,4.0137,0.054176,0.13589,0.18908,0.11214,0.071243,0.056996,0.6195298012709712
1364.1,0.19855,125.92,4.032,0.054185,0.13567,0.19046,0.11177,0.07118,0.056858,0.6201254857738435
1358.3,0.20141,126.28,3.9769,0.054118,0.13582,0.19149,0.11259,0.071405,0.057099,0.6225277297161995
1305.8,0.19837,125.81,4.1012,0.054254,0.13441,0.19761,0.1103,0.071098,0.056221,0.6238943532073562
1324.5,0.19506,125.92,4.1359,0.054324,0.13456,0.19985,0.10995,0.070969,0.056157,0.62581280547688
1375.3,0.19949,127.13,3.975,0.054141,0.13609,0.19841,0.11276,0.071395,0.057204,0.6300014755586956
1385.0,0.19894,127.25,3.979,0.054155,0.13621,0.20096,0.11276,0.071361,0.057239,0.632695567401097
1352.4,0.19964,126.73,3.975,0.054117,0.13576,0.20447,0.11262,0.071441,0.057073,0.6354837035390325
1370.3,0.20015,127.1,4.0046,0.054161,0.13584,0.21583,0.11224,0.07129,0.057026,0.6463903646807561
1351.4,0.19542,126.77,4.02,0.054174,0.13559,0.21738,0.11197,0.071281,0.056853,0.6472438033007266
