Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1984.6,0.25093,199.53,1.477,0.18931,0.12279,0.5011,0.17181,0.25558,0.18798,0.20117,0.10484,0.12645,1.8610250608388612
1995.7,0.25021,199.52,1.4667,0.18952,0.12299,0.53194,0.17204,0.25552,0.18827,0.20106,0.10502,0.12655,1.892907747569866
1996.1,0.24887,197.1,1.4819,0.18919,0.12267,0.55219,0.17167,0.25558,0.18783,0.20121,0.1049,0.12638,1.9116344948305155
1592.8,0.32557,198.8,1.5528,0.18773,0.12144,0.56134,0.17025,0.2556,0.18591,0.20108,0.10359,0.12569,1.912626679799708
1592.8,0.32497,199.0,1.5526,0.18774,0.12145,0.56358,0.17026,0.25561,0.18592,0.20108,0.10358,0.12569,1.9149073562875352
1593.1,0.32429,199.0,1.5519,0.18776,0.12146,0.56548,0.17028,0.25561,0.18594,0.2011,0.10362,0.1257,1.916938073350629
1592.2,0.33493,196.43,1.5454,0.18787,0.1215,0.56952,0.1703,0.25549,0.18615,0.20115,0.10416,0.12572,1.9218513086302225
1594.9,0.32501,199.41,1.5515,0.18777,0.12147,0.57065,0.17028,0.2556,0.18595,0.20111,0.10363,0.1257,1.9221696315071983
1948.9,0.25093,199.53,1.477,0.18934,0.12281,0.56689,0.17185,0.25562,0.18799,0.20118,0.10475,0.12645,1.926876135581924
1578.2,0.32495,199.37,1.5483,0.18785,0.12152,0.57609,0.17037,0.25561,0.18604,0.20102,0.10366,0.12573,1.9278975459576837
