Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1999.8,0.17104,150.78,5.482,0.12768,0.10068,0.06339,0.035253,0.11115,0.33461,0.13428,0.21875,0.048062,1.1738595548814823
1999.8,0.17024,151.89,5.4522,0.12747,0.10071,0.063637,0.035317,0.11122,0.3361,0.13429,0.21878,0.04819,1.1757266941550149
1999.7,0.16997,151.39,5.5324,0.12791,0.10068,0.062983,0.035061,0.1111,0.33731,0.13421,0.21873,0.047992,1.1759699046419179
1977.4,0.17326,151.09,5.439,0.1275,0.10067,0.063714,0.035462,0.1112,0.33695,0.13431,0.21875,0.048061,1.1766281514454573
1985.4,0.17326,151.16,5.4426,0.1275,0.10069,0.063709,0.035438,0.1112,0.33796,0.13432,0.21876,0.04808,1.1776521257942452
1985.4,0.17326,151.19,5.4396,0.12749,0.10069,0.063734,0.035449,0.1112,0.33802,0.13432,0.21876,0.048088,1.1777467792987106
1985.2,0.17326,151.16,5.4308,0.12744,0.10069,0.063805,0.03548,0.11121,0.33793,0.13433,0.21876,0.048105,1.177749735192517
1999.8,0.17,151.68,5.4333,0.12738,0.10072,0.063786,0.035376,0.11124,0.33873,0.13432,0.21879,0.048233,1.178564473679912
1987.5,0.17333,151.02,5.4323,0.12745,0.10069,0.0638,0.035475,0.11121,0.33985,0.13433,0.21876,0.048101,1.179665481293699
1983.8,0.17265,152.29,5.4098,0.12728,0.1007,0.063981,0.035528,0.11127,0.34028,0.13433,0.21879,0.048201,1.180368578158278
