Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772223896
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772223925
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772223974
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772223979
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772223984
897.96,0.44602,152.51,3.9341,0.014932,0.01493162077222399
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772223994
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772223994
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772224007
897.96,0.44602,152.51,3.9341,0.014932,0.014931620772224015
