Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
411.59,0.74208,94.82,15.959,8.6255e-06,0.063606,0.085376,0.054884,0.12728,0.068889,0.31125,0.7112915373358124
416.9,0.74461,94.606,15.746,9.3903e-06,0.063564,0.085464,0.054895,0.12744,0.068812,0.31118,0.71135644859485
411.13,0.74187,95.03,15.952,8.2768e-06,0.063647,0.085327,0.054866,0.1272,0.068923,0.31216,0.7121283970090777
417.72,0.7352,96.377,15.964,1.0211e-05,0.063414,0.085779,0.054967,0.12754,0.068525,0.32456,0.7247775460410626
411.26,0.67168,95.253,14.327,4.3843e-06,0.064295,0.085661,0.054769,0.12674,0.068718,0.32541,0.7255925954697433
412.08,0.65513,96.928,14.337,4.2541e-06,0.064209,0.085997,0.054836,0.12681,0.068447,0.32643,0.7267367639468553
412.08,0.65337,97.024,14.337,4.2555e-06,0.064201,0.086027,0.054843,0.12682,0.068426,0.32671,0.7270305866794797
410.37,0.64923,98.292,14.342,4.3641e-06,0.064177,0.086196,0.054866,0.1268,0.068261,0.32774,0.7280417068013064
412.79,0.76158,93.549,15.301,1.2394e-05,0.063685,0.085435,0.054851,0.12732,0.068722,0.32868,0.7286920758956137
408.15,0.65932,96.044,14.302,4.1675e-06,0.064294,0.085861,0.054788,0.12672,0.068551,0.33089,0.7311013668629376
