param_type,param_name,out_l_bound,out_u_bound,in_u_bound,in_l_bound,base
input,cp_tau_s,0,1,3.2376945086640565,2.0079610333361826,10
input,cp_b,0,1,1.24281463978553,0.2820099993420538,10
input,cp_tau_0,0,1,2.6750355580380805,1.8982533429761361,10
input,cp_n,0,1,1.2298097829525392,0.1197176591054949,10
input,average_strain,0,1,-0.544896164373301,-2.1057504160485387,10
output,average_stress,0,1,3.6571897556208803,2.7832673864045767,10
output,g59_phi_1,0,1,0.2793931427478641,0.2265483538414113,10
output,g59_Phi,0,1,0.3641005213069415,0.3447458537251875,10
output,g59_phi_2,0,1,0.6516365466742274,0.6327811206884243,10
output,g63_phi_1,0,1,0.33537765411082937,0.2724450190489763,10
output,g63_Phi,0,1,0.4866571313388806,0.4452771918696329,10
output,g63_phi_2,0,1,0.6103513636266928,0.576237660100722,10
output,g86_phi_1,0,1,0.3260694665888942,0.3125581495215206,10
output,g86_Phi,0,1,0.2856473089007293,0.2535802895621828,10
output,g86_phi_2,0,1,0.5728599898933121,0.5569414085627211,10
output,g237_phi_1,0,1,0.336959785120704,0.3335681749239878,10
output,g237_Phi,0,1,0.3629911156235689,0.33753912419671106,10
output,g237_phi_2,0,1,0.6226180708680099,0.6090071278890695,10
output,g303_phi_1,0,1,0.41777053111692514,0.4019000367605853,10
output,g303_Phi,0,1,0.3231076551855208,0.3008779659885696,10
output,g303_phi_2,0,1,0.6679103555827365,0.6480475969889298,10
