Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g86),Error (g59),Error (curve),Error (g303),Error (g237),Reduced Error
1972.4,2.8296e-06,111.47,7.8946,0.10973,0.054418,0.082766,0.84354,0.060458,0.093558,1.2444715425549169
1990.4,2.6011e-06,112.06,8.1226,0.10997,0.05445,0.082708,0.8497,0.060817,0.093109,1.2507595584488413
1989.3,2.6252e-06,112.16,8.1217,0.10995,0.054455,0.082701,0.85333,0.060818,0.093103,1.2543649881161951
1971.0,2.5378e-06,111.15,8.1287,0.10962,0.054408,0.083127,0.85839,0.060751,0.093199,1.259490698308852
1980.9,2.8119e-06,111.21,8.1226,0.10981,0.054469,0.082718,0.8658,0.060849,0.093044,1.2666852300689007
1993.0,2.341e-06,111.11,8.3359,0.10998,0.054421,0.082993,0.86943,0.060994,0.092922,1.2707418028894724
1999.5,2.8086e-06,110.9,8.187,0.11013,0.05449,0.082436,0.87158,0.060995,0.092874,1.2725112788166297
1937.7,2.8198e-06,111.52,7.8539,0.10913,0.054379,0.083346,0.8819,0.060289,0.093761,1.2828081280666759
1979.0,3.0494e-06,110.65,8.1328,0.10978,0.054503,0.082583,0.89508,0.06092,0.09293,1.2957927806478344
1998.6,2.9427e-06,111.31,8.1562,0.11013,0.054515,0.082321,0.89589,0.060983,0.092868,1.2967027600332564
