Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
556.27,0.52477,129.81,3.5388,0.059102,0.1395,0.054709,0.12054,0.29229,0.072382,0.7385136877411955
557.53,0.53321,128.31,3.5415,0.059089,0.13951,0.054682,0.12043,0.29376,0.072327,0.7398025694736234
554.42,0.52734,130.38,3.5391,0.059102,0.13947,0.054718,0.12055,0.29674,0.072395,0.742967830893898
580.54,0.53053,122.04,3.5235,0.059266,0.13995,0.054639,0.12074,0.30254,0.072213,0.749347739938579
576.52,0.495,129.47,3.5158,0.059312,0.13987,0.054766,0.1212,0.31257,0.072456,0.7601779702904382
573.71,0.5048,127.51,3.5928,0.058822,0.13939,0.054528,0.1196,0.31977,0.072062,0.7641761437938155
591.04,0.48346,131.34,3.6052,0.058882,0.1395,0.054559,0.11969,0.32393,0.072014,0.7685738217149348
548.15,0.52628,129.69,3.5589,0.05895,0.13931,0.054666,0.1202,0.32444,0.072338,0.7699074641059976
557.54,0.51378,129.2,3.5441,0.059057,0.13949,0.054688,0.12048,0.32937,0.072366,0.7754542972860683
555.45,0.55,127.2,3.5415,0.059108,0.13953,0.054676,0.1204,0.33273,0.072297,0.778746830122387
