Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
472.95,0.50022,100.1,14.985,2.6672e-06,0.063138,0.086069,0.055663,0.12874,0.068554,0.2057,0.6078650596472437
472.95,0.50099,100.1,14.985,2.6672e-06,0.063139,0.086075,0.055662,0.12873,0.068548,0.20611,0.6082680201958964
464.75,0.50101,102.18,15.301,2.713e-06,0.06306,0.086022,0.055632,0.12865,0.068563,0.20673,0.6086568798869324
464.69,0.50103,102.08,15.301,2.7125e-06,0.063061,0.086018,0.055632,0.12866,0.068569,0.20717,0.6091122960774349
472.23,0.5024,100.07,14.985,2.7327e-06,0.063141,0.086088,0.055663,0.12874,0.068545,0.20699,0.6091689060461241
463.34,0.50102,102.15,15.221,2.7139e-06,0.063084,0.086061,0.055629,0.12863,0.068526,0.20725,0.6091778010313719
463.83,0.50029,102.24,15.246,2.718e-06,0.063076,0.086047,0.055631,0.12864,0.06854,0.20745,0.6093789502354506
472.95,0.50022,100.1,15.144,2.6672e-06,0.063092,0.085997,0.055663,0.12879,0.068624,0.20742,0.6095830953758425
465.87,0.50031,102.23,15.276,2.7648e-06,0.063062,0.086035,0.055639,0.12867,0.06856,0.20781,0.6097767059929105
463.07,0.50094,102.26,15.255,2.718e-06,0.063076,0.086048,0.055628,0.12863,0.068537,0.20789,0.6098098031263541
