Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
432.24,13.038,87.562,2.2638,0.043831,0.10111,0.08703,0.14248,0.22669,0.104,0.26887,0.11438,0.11852,1.2069050741007572
432.78,11.551,88.056,2.2591,0.043816,0.10109,0.087148,0.14254,0.22673,0.10412,0.28168,0.11439,0.11858,1.2200826694403144
427.31,11.605,89.602,2.262,0.04382,0.10119,0.087228,0.14256,0.22673,0.10409,0.31033,0.1144,0.11855,1.2489001396649395
426.91,25.533,87.943,2.2638,0.043889,0.10122,0.087728,0.14255,0.22672,0.10421,0.33043,0.11461,0.11833,1.2696875062594388
437.8,13.88,90.716,2.1088,0.043714,0.10187,0.093687,0.14439,0.22792,0.1085,0.3174,0.11474,0.11972,1.2719372558184026
446.41,14.482,90.518,2.0622,0.043696,0.1021,0.095486,0.14494,0.2283,0.10981,0.31675,0.11494,0.12012,1.276131369141586
420.65,26.176,89.352,2.2638,0.043902,0.10133,0.087942,0.14261,0.22673,0.10425,0.33695,0.11465,0.1183,1.2766505824748489
444.62,14.831,90.655,2.062,0.043703,0.10209,0.095532,0.14494,0.2283,0.10981,0.31832,0.11494,0.1201,1.2777408448686975
448.79,14.682,89.142,2.0684,0.043705,0.10193,0.095094,0.14482,0.22823,0.10959,0.31977,0.11488,0.12004,1.2780517221378556
446.44,14.593,90.509,2.0737,0.043698,0.10201,0.095027,0.1448,0.2282,0.10949,0.32014,0.11488,0.12002,1.2782769837731327
