Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
910.09,2.7018,189.73,1.8593,0.0,0.0
902.29,2.7525,189.36,1.8969,0.0,0.0
922.94,2.7699,192.32,1.8745,0.0,0.0
892.71,2.707,192.81,1.8665,0.0,0.0
901.22,2.7354,189.67,1.8787,0.0,0.0
898.87,2.7075,190.35,1.9007,0.0,0.0
910.8,2.6355,187.87,1.8998,0.0,0.0
906.06,2.7437,186.31,1.9177,0.0,0.0
907.57,2.7516,189.37,1.9178,0.0,0.0
877.13,2.5921,181.29,1.7764,0.0,0.0
