Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
505.24,9.8758,275.63,107.67,362.16,1.5723,72.715,16.075,0.23084,0.14845,0.028824,0.39296,0.061411,0.18045,0.035878,0.12438,0.14045,1.3436253888602903
526.69,9.8758,275.63,107.67,362.16,1.5723,72.715,16.075,0.2308,0.14821,0.029414,0.42429,0.0614,0.17153,0.036437,0.12447,0.14074,1.3672918607233924
662.68,9.8834,275.97,100.62,362.49,1.8922,73.914,15.975,0.23093,0.14713,0.032993,0.48597,0.061963,0.12449,0.039319,0.12558,0.14188,1.3902534406940914
505.32,9.8757,275.98,113.24,361.04,1.5828,72.612,15.98,0.23057,0.14827,0.02886,0.42077,0.06123,0.20279,0.03604,0.12402,0.14055,1.3930968545948148
503.57,9.1761,278.67,107.21,361.79,1.6182,71.573,16.038,0.2307,0.1486,0.028746,0.45442,0.06137,0.19294,0.035777,0.12423,0.1406,1.4173790850133452
537.72,9.8784,275.73,119.25,377.97,1.6077,72.619,16.746,0.23063,0.14875,0.029341,0.44764,0.060773,0.20176,0.036759,0.12451,0.1413,1.4214498128449644
640.78,9.8281,275.6,104.06,361.55,2.2225,74.87,15.988,0.23094,0.14749,0.031931,0.52593,0.062108,0.13058,0.038533,0.12539,0.14149,1.4343968166054133
533.49,9.8223,279.28,106.87,372.79,1.546,72.865,16.772,0.231,0.14893,0.029151,0.48827,0.061205,0.18013,0.036177,0.1249,0.14094,1.440693777747355
661.63,9.0474,275.78,107.15,362.12,1.6854,74.688,16.037,0.23058,0.14665,0.033378,0.53855,0.061973,0.14374,0.039823,0.12514,0.14215,1.461975057512533
675.35,9.8565,278.46,89.063,353.08,1.9255,73.728,16.034,0.23131,0.14741,0.03307,0.56369,0.0626,0.12245,0.039038,0.12608,0.14169,1.4673501381801553
