iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.2998605297366295,0.08862280369771895,0.32807004429493886
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.04852339734879205,0.08407913945755056,0.07528661865995603
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.17241620393053828,0.07796901781027661,0.19723451311558937
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.1641455453424909,0.07379812263303409,0.18763621735838942
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.18460898677533807,0.07229909986767942,0.20762250502540963
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.023026251565067136,0.07296572853767581,0.04625196431121209
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.03598850455395409,0.07293211832516408,0.05920351883717982
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03204524929482681,0.07314812958336261,0.05532902209706413
9,494.02,0.50636,99.313,12.387,4.517e-06,0.018023885822879206,0.07319467303646299,0.04132247386637551
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.02145570990100703,0.07309262903977239,0.04472181633153101
11,455.66,0.58146,102.25,13.326,8.357e-06,0.02734291801974612,0.07312615825173581,0.050619697129914015
