Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
669.08,0.81173,162.83,2.2083,0.0364,0.03640031608841696
669.08,0.81174,162.83,2.2083,0.0364,0.036400395703971786
669.08,0.81189,162.83,2.2083,0.036402,0.036402236958853744
669.08,0.81173,162.84,2.2083,0.036402,0.036402462075408114
669.08,0.81173,162.84,2.2084,0.036403,0.03640265623870396
669.08,0.81173,162.85,2.2083,0.036403,0.03640290215375938
669.08,0.81174,162.85,2.2083,0.036403,0.0364030551036357
669.08,0.81174,162.85,2.2083,0.036403,0.036403216057445016
669.08,0.81173,162.85,2.2083,0.036403,0.0364032453777178
669.08,0.81174,162.85,2.2083,0.036403,0.03640332053960894
