Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1504.1,0.18077,122.4,4.9386,0.1097,0.051671,0.10187,0.33354,0.13703,0.031814,0.25251,0.11391,0.1368,1.268840259427579
1503.1,0.18066,122.56,4.9459,0.10968,0.051554,0.1018,0.33589,0.13701,0.031784,0.25255,0.11392,0.13675,1.2709344116679593
1496.3,0.18057,122.49,4.9412,0.10961,0.051625,0.10185,0.33687,0.13706,0.031816,0.25252,0.11392,0.13679,1.272069011708564
1504.4,0.18108,121.64,4.9729,0.10985,0.051249,0.10156,0.33816,0.13697,0.031648,0.2527,0.11393,0.13656,1.2726352867716488
1501.1,0.18151,121.69,4.9634,0.10979,0.051386,0.10164,0.33802,0.13699,0.031688,0.25265,0.11393,0.13664,1.272728050651592
1516.5,0.17967,122.66,4.9157,0.10979,0.051982,0.10211,0.33706,0.13707,0.031926,0.25237,0.11386,0.13694,1.2731112495492154
1496.9,0.18036,122.51,4.9351,0.10961,0.051708,0.10191,0.33773,0.13708,0.031849,0.25249,0.11391,0.13683,1.2731177176654738
1496.2,0.18072,122.02,5.3848,0.091587,0.045424,0.098493,0.36909,0.13526,0.03038,0.25475,0.11435,0.13378,1.2731190327896862
1497.5,0.18031,122.49,4.9716,0.10969,0.051187,0.10158,0.3392,0.13698,0.03168,0.25269,0.11395,0.13657,1.2735259537363697
1509.1,0.17861,122.4,5.0216,0.10989,0.050447,0.10116,0.34104,0.13687,0.031477,0.25296,0.11399,0.13617,1.2740062291584298
