Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
318.7,2.3558,97.931,4.2213,0.080399,0.0803993163863965
318.7,2.3558,97.931,4.2213,0.080399,0.08039931638639883
318.7,2.3558,97.931,4.2213,0.080399,0.0803993163864009
318.7,2.3558,97.931,4.2213,0.080399,0.08039931638646607
318.7,2.3558,97.931,4.2213,0.080399,0.08039931638648667
318.7,2.3558,97.931,4.2213,0.080399,0.08039931638648994
318.7,2.3558,97.931,4.2213,0.080399,0.08039931638650913
318.7,2.3558,97.931,4.2213,0.080399,0.0803993163865167
318.7,2.3558,97.931,4.2213,0.080399,0.0803993163865643
318.7,2.3558,97.931,4.2213,0.080399,0.08039931638656891
