Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
440.52,0.79758,126.53,3.3241,0.061105,0.14066,0.056453,0.12624,0.45182,0.073855,0.9101351732036379
451.37,0.76102,124.28,3.3338,0.060926,0.14069,0.056304,0.126,0.4678,0.073766,0.925485779813825
420.67,0.78984,133.96,3.3213,0.061113,0.14035,0.056628,0.12643,0.47533,0.074047,0.9339004735531712
456.78,0.81171,119.35,3.3481,0.060889,0.14075,0.056151,0.12561,0.48867,0.073584,0.9456502382203286
455.53,0.8049,122.86,3.3614,0.060791,0.14058,0.056112,0.12537,0.50835,0.073564,0.9647622628399432
459.28,0.80983,120.23,3.3689,0.060717,0.1406,0.056019,0.12517,0.51144,0.073484,0.9674262839237123
465.54,0.80157,118.54,3.3706,0.060678,0.14066,0.055965,0.12511,0.51235,0.073439,0.9681966667294448
439.78,0.79889,121.71,3.3246,0.061045,0.14073,0.056378,0.12616,0.5148,0.073802,0.972908630184239
455.96,0.82172,117.81,3.2124,0.062192,0.14185,0.057173,0.1286,0.51107,0.074301,0.9751878808476377
424.55,0.91168,117.09,3.3692,0.060782,0.14035,0.056089,0.12506,0.52551,0.073493,0.9812941005043889
