Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
148.38,8.0127,27.756,15.46,0.13563,1.0552,0.28364,0.61947,0.18285,0.17032,0.070771,0.10371,0.11075,2.7323034054391737
132.17,7.9474,38.989,18.739,0.13641,1.084,0.28575,0.69498,0.18258,0.17092,0.070993,0.1016,0.10957,2.8367902938421707
133.18,8.2179,37.725,18.757,0.13674,1.0788,0.28519,0.73157,0.18223,0.17093,0.070966,0.10216,0.10931,2.8678504479035727
131.92,10.589,28.603,15.683,0.1374,1.2368,0.28426,0.67804,0.18357,0.17083,0.071029,0.10478,0.11091,2.977620836690405
151.02,10.052,28.502,15.324,0.13634,1.4309,0.28306,0.52946,0.18283,0.16995,0.071116,0.1043,0.11174,3.0197116017123253
152.41,6.1147,29.88,17.659,0.13533,1.0036,0.28345,1.0444,0.1812,0.1706,0.070409,0.10262,0.10817,3.099869860536833
152.45,6.4963,29.764,17.299,0.13541,0.98935,0.28332,1.0753,0.18138,0.17051,0.070502,0.10281,0.10854,3.117074324158221
142.78,8.0934,29.432,18.438,0.13748,1.1266,0.28285,0.94746,0.181,0.17092,0.070619,0.10426,0.10792,3.129087332094954
153.33,6.7886,30.073,17.319,0.13554,1.0092,0.2831,1.0773,0.1813,0.17042,0.070575,0.1029,0.10862,3.1390339706951647
148.26,6.579,29.815,17.366,0.13565,1.0328,0.28361,1.0703,0.18156,0.17069,0.070492,0.10296,0.10853,3.1565498779856074
