Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
220.26,28.858,64.17,15.819,4.7048e-05,0.077586,0.071215,0.057917,0.29447,0.064351,0.12877,0.6943124962550342
221.72,31.062,64.46,15.945,4.6533e-05,0.078317,0.07089,0.057942,0.29405,0.064466,0.12875,0.6944053984131661
221.68,31.425,63.762,15.681,4.138e-05,0.079249,0.07033,0.057887,0.29695,0.064618,0.12892,0.6979493876626205
220.94,32.342,64.724,15.78,4.7381e-05,0.078032,0.071244,0.057933,0.29959,0.064417,0.1287,0.6999157844971268
223.19,28.884,63.423,15.597,4.7112e-05,0.077725,0.071182,0.057956,0.30466,0.064285,0.12904,0.7048466225094794
219.9,29.045,64.092,14.975,4.5737e-05,0.076847,0.071928,0.057905,0.30779,0.064182,0.12896,0.7076186235672672
221.36,27.474,63.459,14.907,4.6053e-05,0.076546,0.072019,0.057922,0.31041,0.064086,0.12916,0.7101449869312186
219.76,30.033,64.32,15.047,4.6334e-05,0.076971,0.071915,0.057902,0.31113,0.064213,0.12889,0.7110218699953853
220.73,29.225,64.921,15.078,4.6685e-05,0.076626,0.072048,0.057915,0.31356,0.064152,0.12889,0.713185015934809
220.85,26.056,64.08,15.797,4.4916e-05,0.077382,0.071072,0.057906,0.3169,0.064312,0.12892,0.7164861296534907
