Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
406.96,1.1551,119.44,14.254,0.053553,0.14256,0.11193,0.73245,0.029686,0.13364,0.10989,0.0372,0.22385,1.5747648418553892
404.73,1.1573,119.34,14.258,0.053487,0.14247,0.11193,0.73462,0.029639,0.13361,0.1099,0.037258,0.22382,1.5767375480089285
405.61,1.1745,119.78,14.062,0.053383,0.14222,0.11191,0.73527,0.029582,0.13356,0.10972,0.037534,0.2237,1.5768698477447913
408.68,1.1204,119.78,14.283,0.053902,0.14299,0.1119,0.73597,0.029978,0.13377,0.10999,0.036878,0.22404,1.5794104425782733
412.12,1.1913,116.77,14.0,0.052668,0.14219,0.11186,0.74013,0.0291,0.13369,0.10924,0.037855,0.22347,1.5802086813252327
406.54,1.1453,118.51,14.278,0.053424,0.14266,0.11191,0.73869,0.029621,0.13371,0.1098,0.037191,0.22385,1.5808548078909042
406.6,1.1399,120.09,14.367,0.053846,0.14277,0.11194,0.74086,0.02988,0.13366,0.11014,0.036931,0.22399,1.5840247411764403
405.09,1.1816,119.7,14.259,0.053402,0.14223,0.11195,0.7434,0.029523,0.13352,0.10994,0.037385,0.22374,1.585089174330778
406.63,1.1104,119.27,14.568,0.053968,0.14318,0.11194,0.74143,0.029989,0.1338,0.11026,0.036599,0.22415,1.5853137951869936
408.4,1.1346,117.85,14.334,0.053405,0.14285,0.1119,0.74305,0.029621,0.13379,0.10978,0.037085,0.22389,1.585373194748156
