Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
313.01,4.6363,64.219,15.739,4.7744e-05,0.1372,0.061394,0.059974,0.076917,0.27016,0.070358,0.6760055757248579
313.72,4.6599,64.222,15.778,4.7819e-05,0.13723,0.061408,0.059955,0.076924,0.27078,0.070354,0.6766514406534908
313.22,4.5156,64.255,15.765,4.7738e-05,0.13724,0.061418,0.059959,0.076916,0.27192,0.07036,0.6778178083286349
313.01,4.2259,64.219,15.794,4.7744e-05,0.13735,0.061467,0.059937,0.076918,0.27191,0.070358,0.6779327703340334
310.6,4.9263,63.526,15.507,4.7861e-05,0.13707,0.061304,0.060072,0.076871,0.2778,0.070373,0.6834943543134555
317.24,4.0721,63.523,15.737,4.6811e-05,0.13743,0.061445,0.059899,0.076572,0.28163,0.070675,0.6876498051233126
315.33,8.0308,64.416,15.735,4.799e-05,0.13656,0.06108,0.060055,0.077099,0.28824,0.070333,0.6933594952702945
309.7,2.7541,64.054,15.741,4.7514e-05,0.13778,0.06168,0.059906,0.076964,0.28676,0.070318,0.6934095082774407
313.05,7.7221,64.443,15.73,4.7865e-05,0.13653,0.061088,0.06007,0.077136,0.2889,0.070281,0.6940048413678245
306.25,4.855,64.044,15.736,5.5458e-05,0.13794,0.061807,0.060034,0.078064,0.28848,0.06921,0.6955368827495267
