Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
893.7,0.31684,123.35,3.8213,0.26693,0.071302,0.13805,0.057394,0.054241,0.11539,0.7033124031556063
893.76,0.32456,121.76,3.8212,0.2677,0.071266,0.1381,0.057384,0.054213,0.11539,0.7040523943229536
895.06,0.32469,121.85,3.8174,0.2678,0.071276,0.13813,0.057407,0.054215,0.11546,0.7042881810144374
893.45,0.31706,123.1,3.8209,0.2683,0.0713,0.13806,0.057388,0.054238,0.11538,0.7046688271884648
895.17,0.32427,121.48,3.8348,0.26878,0.071224,0.13804,0.05733,0.054208,0.11519,0.7047753318044943
881.78,0.32831,122.34,3.8207,0.26882,0.071278,0.13805,0.057372,0.054218,0.11535,0.7050878381131332
881.69,0.32832,122.34,3.8209,0.26885,0.071278,0.13805,0.057371,0.054218,0.11534,0.7051120901700948
889.38,0.32514,121.85,3.8527,0.26968,0.071186,0.13791,0.057255,0.054212,0.11491,0.7051573111084255
895.06,0.32441,121.48,3.8168,0.26874,0.071273,0.13813,0.057396,0.054211,0.11545,0.7051974074959
880.01,0.32927,122.4,3.8178,0.26926,0.071287,0.13806,0.057382,0.054219,0.11538,0.705599410693176
