Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1488.2,0.17143,124.41,6.4687,0.061438,0.13011,0.18611,0.093934,0.068087,0.054625,0.59431059069271
1480.0,0.17146,124.53,6.7315,0.062061,0.12972,0.18692,0.093084,0.067918,0.054678,0.5943764138725163
1470.7,0.17284,124.52,6.7295,0.062064,0.12974,0.18756,0.09308,0.067912,0.054686,0.5950334517398588
1471.2,0.17278,124.38,6.7279,0.062062,0.12974,0.18768,0.093083,0.067915,0.054683,0.5951639268757758
1468.5,0.17273,124.55,6.7595,0.062129,0.12971,0.18802,0.092991,0.067889,0.0547,0.5954388627187438
1472.3,0.17348,123.83,6.5555,0.061661,0.12995,0.18805,0.093631,0.068035,0.05463,0.5959564659852294
1468.2,0.17344,124.68,6.6836,0.061962,0.12978,0.18851,0.093219,0.067943,0.054674,0.5960855653578748
1463.6,0.17386,124.64,6.5889,0.061735,0.12989,0.18846,0.093527,0.068011,0.054653,0.5962734684433483
1479.8,0.17173,124.36,6.4803,0.061466,0.13007,0.18819,0.093894,0.068087,0.054633,0.5963394050561022
1450.7,0.17551,124.54,6.8078,0.062249,0.1297,0.18907,0.092831,0.067834,0.054727,0.5964092271383044
