Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
437.85,0.67179,118.0,11.587,0.088497,0.26506,0.066031,0.064821,0.12677,0.055098,0.6662704349144893
468.81,0.60412,119.74,12.332,0.087555,0.26761,0.067031,0.064209,0.12777,0.055387,0.6695662455839817
475.59,0.60362,119.56,11.94,0.087823,0.2679,0.066781,0.064408,0.12762,0.055334,0.6698712381801128
435.54,0.67681,118.25,11.585,0.088579,0.27077,0.065939,0.064854,0.12661,0.055081,0.6718307093529343
472.52,0.59891,120.45,11.962,0.087908,0.2734,0.066677,0.064445,0.12747,0.055331,0.6752394447269935
471.0,0.60925,117.06,12.142,0.087434,0.27573,0.067184,0.064239,0.12799,0.055353,0.6779282460809994
451.26,0.61108,122.09,12.278,0.088018,0.27767,0.066497,0.064389,0.12709,0.05532,0.6789826879322998
430.37,0.6814,117.69,12.425,0.087871,0.27889,0.066687,0.064189,0.12732,0.05525,0.6802013215460907
487.66,0.59258,119.68,11.905,0.087795,0.28125,0.066792,0.064412,0.12764,0.055346,0.6832340443746685
487.73,0.59284,119.59,11.899,0.087793,0.28134,0.066795,0.064414,0.12764,0.055345,0.683326948668504
