Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1165.9,0.20816,124.02,18.343,0.062471,0.13028,0.05586,0.17172,0.084485,0.070778,0.5755921027334001
1164.2,0.20691,124.61,18.341,0.062478,0.13021,0.055855,0.17207,0.08452,0.070718,0.5758509984166675
1161.5,0.20742,124.61,18.342,0.062479,0.13021,0.055854,0.17223,0.084523,0.070715,0.5760104778944533
1164.5,0.20652,124.61,18.336,0.062482,0.1302,0.055853,0.17282,0.084524,0.070711,0.5765934303472221
1134.3,0.21205,124.64,18.008,0.062588,0.12982,0.05578,0.17336,0.084546,0.070637,0.5767231442557478
1134.1,0.21182,124.78,17.994,0.062593,0.12979,0.055778,0.17343,0.084553,0.070624,0.5767729599046507
1135.4,0.21126,124.82,17.971,0.062601,0.12978,0.055775,0.17363,0.084552,0.070619,0.5769568835160056
1133.9,0.21202,124.64,18.014,0.062587,0.12981,0.055781,0.17359,0.084549,0.070634,0.5769610626833643
1134.2,0.21204,124.91,17.991,0.062593,0.12979,0.055778,0.17383,0.084553,0.07062,0.5771578110812358
1159.0,0.21076,123.52,18.352,0.062464,0.13032,0.055862,0.17327,0.084466,0.070818,0.5771927864031818
