Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
428.05,13.184,86.047,2.4342,0.043621,0.10002,0.081086,0.14116,0.22584,0.10034,0.26938,0.11442,0.11791,1.1937836091535148
427.04,13.109,86.48,2.4252,0.043626,0.10025,0.081421,0.14124,0.22589,0.10055,0.27144,0.11441,0.11797,1.1967806427990428
431.43,13.399,86.462,2.3975,0.043595,0.10085,0.082384,0.14148,0.22604,0.10122,0.27173,0.11434,0.11817,1.1998058509584786
431.37,13.386,86.494,2.397,0.043595,0.10086,0.082402,0.14148,0.22604,0.10123,0.27216,0.11434,0.11817,1.2002896526108227
426.55,13.668,85.776,2.4344,0.043621,0.099927,0.081086,0.14116,0.22585,0.10034,0.27663,0.11444,0.1179,1.2009445178014233
433.04,151.26,83.94,2.4662,0.04326,0.10046,0.083574,0.14091,0.22495,0.10064,0.27441,0.11513,0.11834,1.201675476357056
432.92,13.81,86.402,2.3664,0.043566,0.10116,0.083472,0.14174,0.22621,0.10195,0.27306,0.11431,0.11837,1.2038386016318563
431.23,13.398,86.709,2.3996,0.043601,0.10085,0.082322,0.14147,0.22603,0.10117,0.27647,0.11434,0.11816,1.204407283354612
431.58,13.283,86.637,2.4087,0.043602,0.10068,0.081997,0.14139,0.22598,0.10096,0.27798,0.11436,0.1181,1.2050436604681865
433.09,13.378,86.568,2.3647,0.043567,0.10119,0.083529,0.14175,0.22621,0.10199,0.27443,0.1143,0.11839,1.2053628777449048
