Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
424.25,3.538,139.27,1.1159,0.19645,0.1289,2.4193,0.18202,0.25482,0.19845,0.19793,0.10449,0.12936,3.811752235059848
435.18,3.538,139.27,1.1165,0.19649,0.12892,2.4261,0.18203,0.25481,0.19845,0.19793,0.1045,0.12935,3.818569054891471
419.87,3.5364,138.33,1.1306,0.19626,0.12872,2.447,0.18169,0.2548,0.19801,0.19798,0.10428,0.12925,3.8380177801423967
910.95,0.28308,107.02,1.4095,0.19054,0.12527,2.4678,0.17732,0.25854,0.18453,0.2011,0.12205,0.12637,3.853523390825464
408.7,3.5263,157.74,1.0285,0.19737,0.12985,2.4542,0.18392,0.25498,0.20085,0.19771,0.10491,0.12996,3.853762749595759
415.59,4.1006,149.84,1.1541,0.19594,0.12835,2.4662,0.18096,0.25453,0.19724,0.19804,0.10395,0.12907,3.8543077275196223
402.44,3.6564,159.67,1.0137,0.19753,0.13001,2.4595,0.18424,0.25498,0.20131,0.19762,0.10555,0.13009,3.8608853244507664
608.23,4.8563,15.876,1.2806,0.1892,0.13456,2.4154,0.17935,0.25897,0.18874,0.19982,0.16943,0.1271,3.862631070234501
408.15,3.656,159.67,1.0135,0.19755,0.13003,2.4732,0.18426,0.25497,0.20133,0.19762,0.10559,0.13009,3.8746172274411306
405.12,3.3406,160.22,1.1061,0.19639,0.12883,2.4968,0.182,0.2548,0.19836,0.19816,0.1027,0.12932,3.8873245137976804
