Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
161.49,0.020863,44.286,15.894,0.1199,0.89234,0.34759,1.1464,0.259,0.16651,0.075538,0.077209,0.10517,3.189679152024221
56.416,2.4974e-05,0.46511,16.079,0.15019,1.5201,0.42621,0.42614,0.33221,0.17001,0.083352,0.10061,0.11219,3.321005178738268
30.101,1.198e-05,0.15425,15.887,0.15086,1.3297,0.4407,0.58362,0.3516,0.17081,0.08259,0.11528,0.11492,3.3400574630534963
28.929,1.1746e-05,0.15042,15.802,0.15071,1.4029,0.44165,0.62699,0.35321,0.17086,0.082543,0.11649,0.11539,3.4607714401937875
27.401,2.7004e-06,0.06405,15.836,0.16197,1.3551,0.45543,0.64065,0.3611,0.17223,0.084695,0.11667,0.11591,3.4637946014781975
32.331,1.0832e-05,0.13555,16.256,0.15227,1.3389,0.439,0.78765,0.34734,0.17074,0.082805,0.112,0.11297,3.54372223218179
78.136,0.42114,393.72,15.416,0.1191,1.1154,0.32805,1.3155,0.24297,0.16483,0.076118,0.07105,0.121,3.5539783473344437
92.802,0.36428,252.75,15.136,0.1182,1.3198,0.3252,1.1282,0.23834,0.16491,0.07527,0.071877,0.11822,3.5600798193571883
31.715,1.0735e-05,0.1404,15.807,0.15215,1.2515,0.44024,0.91235,0.34982,0.17079,0.082931,0.1133,0.114,3.587065161915667
34.823,9.9567e-06,0.15164,15.813,0.15351,0.98029,0.43985,1.1959,0.34803,0.17083,0.08335,0.11098,0.11374,3.5964248722748247
