Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
431.28,0.1874,91.501,2.3451,0.042998,0.10231,0.084678,0.14221,0.22598,0.1026,0.35887,0.1147,0.11867,1.2930216221930222
431.74,0.18744,93.055,2.3017,0.04296,0.10292,0.08629,0.14262,0.22625,0.10367,0.35649,0.11484,0.11894,1.2949879070472978
431.6,0.18843,93.424,2.3042,0.042971,0.1029,0.086177,0.14258,0.22623,0.1036,0.35729,0.11484,0.11891,1.2954968834602942
430.78,0.17309,92.957,2.3093,0.042939,0.10286,0.086034,0.14256,0.22619,0.10349,0.35974,0.11481,0.11891,1.2975260692076498
431.06,0.17693,93.707,2.3102,0.042961,0.10287,0.08596,0.14253,0.22618,0.10344,0.36264,0.11482,0.11888,1.300271302594465
429.9,0.19219,93.055,2.2978,0.042964,0.10295,0.08642,0.14265,0.22628,0.10375,0.36321,0.11485,0.11895,1.3020205700487286
428.33,0.35445,91.694,2.3027,0.043155,0.1024,0.085967,0.14251,0.22631,0.10348,0.3684,0.11482,0.11876,1.3058006229538992
429.8,0.19162,92.684,2.3028,0.042965,0.10286,0.086242,0.14261,0.22625,0.10363,0.37017,0.11483,0.11892,1.3084712443672635
431.36,0.29345,91.902,2.3146,0.04311,0.10238,0.085597,0.14243,0.22622,0.10324,0.37252,0.1148,0.11874,1.3090352599647326
435.47,0.18651,92.426,2.292,0.042929,0.10304,0.08672,0.14275,0.22633,0.10399,0.37143,0.11488,0.11904,1.3111203344227296
