Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
2.3785,1.3539,237.31,10.391,0.57461,0.083216,0.19209,0.25322,0.43644,0.26448,0.14699,0.39728,0.10816,2.456489237084339
2.1707,1.355,236.42,10.386,0.58029,0.083058,0.19324,0.25614,0.42182,0.26779,0.14783,0.40075,0.10936,2.4602752080296053
2.3373,1.3509,234.0,10.808,0.57698,0.082666,0.1931,0.25442,0.43441,0.26619,0.14747,0.39898,0.10842,2.4626333243901497
2.0778,1.3555,236.68,10.386,0.58238,0.083018,0.19366,0.25721,0.41946,0.26905,0.14814,0.40203,0.10981,2.464750377867251
2.3339,1.3618,234.93,10.849,0.57636,0.082787,0.19286,0.25409,0.45313,0.26574,0.14736,0.39851,0.10836,2.479202462314051
2.8577,1.3565,235.66,11.059,0.56343,0.082905,0.1906,0.24747,0.49771,0.25846,0.14553,0.3907,0.10557,2.482390393056573
2.3446,1.363,235.7,10.851,0.5755,0.08284,0.19267,0.25365,0.46067,0.26526,0.14723,0.39796,0.10819,2.483957744756306
1.8795,1.3602,236.34,9.9198,0.58928,0.083297,0.19456,0.26081,0.42219,0.27269,0.14902,0.40609,0.11151,2.489443475142361
2.9955,1.3598,224.84,10.832,0.5709,0.082681,0.19195,0.25147,0.48599,0.26212,0.14658,0.39559,0.10715,2.4944368059306563
3.1832,1.359,224.75,10.849,0.56732,0.082759,0.19128,0.24965,0.50479,0.26005,0.14607,0.39343,0.10641,2.501753575852154
