Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
634.43,0.015728,124.57,1.3732,0.048579,0.13653,0.10977,0.31736,0.07915,0.14304,0.17799,0.10327,0.22327,1.3389603877603624
635.5,0.016443,127.17,1.3865,0.048581,0.13644,0.10965,0.32042,0.078854,0.14302,0.17739,0.10293,0.22331,1.3405842936759225
634.01,0.015865,126.78,1.4033,0.048553,0.13641,0.10974,0.3208,0.078674,0.14295,0.17735,0.10291,0.2232,1.3405970866723498
635.18,0.016531,127.97,1.3881,0.048584,0.13643,0.10963,0.32092,0.078839,0.14302,0.17734,0.1029,0.22332,1.3409787234022896
632.03,0.016693,130.19,1.4427,0.048531,0.13618,0.10961,0.32466,0.077994,0.14286,0.17625,0.10227,0.22319,1.3415641654447497
629.6,0.017114,134.74,1.4443,0.048556,0.13618,0.10953,0.3255,0.078064,0.1429,0.17618,0.10225,0.22325,1.3424266647045195
636.16,0.016697,129.74,1.3849,0.048601,0.13646,0.10958,0.32643,0.078903,0.14304,0.17735,0.10292,0.22336,1.3466449575354122
627.26,0.015632,128.8,1.3771,0.048598,0.13653,0.10979,0.32465,0.079325,0.14307,0.17819,0.10342,0.22328,1.3468629101505043
636.37,0.018053,130.29,1.4516,0.048537,0.13605,0.10942,0.333,0.077576,0.14284,0.17537,0.10174,0.22328,1.3478135916998721
643.13,0.017206,126.12,1.3991,0.048567,0.13634,0.10952,0.33424,0.078374,0.14295,0.1766,0.10245,0.22333,1.3523672466863184
