Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1744.9,0.13495,123.89,16.816,0.070608,0.084747,0.13018,0.27776,0.062818,0.055929,0.6820426977661921
1745.2,0.13488,123.93,16.816,0.070604,0.08475,0.13018,0.27776,0.062819,0.055929,0.6820430613239846
1756.5,0.13385,123.88,16.817,0.0706,0.08475,0.13018,0.27811,0.062834,0.055928,0.6823962768782085
1756.1,0.13417,124.07,16.817,0.070596,0.08475,0.13018,0.27824,0.062828,0.055931,0.6825304879736152
1757.5,0.13387,123.74,16.807,0.070612,0.084744,0.13019,0.27827,0.062838,0.055927,0.6825746270902181
1753.6,0.13375,124.18,16.679,0.070521,0.084802,0.13011,0.27856,0.062873,0.055928,0.6827916934726304
1757.1,0.13377,124.28,16.758,0.070547,0.08478,0.13014,0.2787,0.062848,0.055931,0.6829404893020481
1756.2,0.13408,124.05,16.298,0.07043,0.084878,0.13006,0.27877,0.062991,0.055923,0.6830570600038104
1756.1,0.13401,124.28,16.593,0.070505,0.084813,0.13011,0.279,0.062901,0.055928,0.6832558362498559
1773.3,0.13258,124.2,16.507,0.070473,0.084833,0.13009,0.27916,0.062948,0.055927,0.6834286177265778
