Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
3897.2,0.054338,108.61,18.949,0.089315,0.089325,0.16495,0.16525,0.060273,0.20908,0.13164,1.2182,0.98392,3.1119287865968044
3848.2,0.054233,102.68,19.486,0.089282,0.089271,0.16486,0.16538,0.060303,0.20993,0.13231,1.2397,0.96874,3.1197520003733783
3834.7,0.054163,108.12,18.611,0.089124,0.08989,0.16516,0.16561,0.060035,0.20962,0.13146,1.3132,0.92838,3.1525071855563676
3927.7,0.055014,109.18,17.53,0.089111,0.090884,0.16545,0.16617,0.059316,0.20858,0.13018,1.388,0.85835,3.155999911509654
3531.6,0.058527,108.85,17.048,0.088589,0.092314,0.16585,0.16711,0.058748,0.21028,0.12992,1.5234,0.74496,3.18115038902727
3915.5,0.056237,108.24,18.573,0.089331,0.090068,0.16507,0.1657,0.059869,0.20883,0.13159,1.2303,1.0439,3.1847095308588482
3522.4,0.058136,108.8,17.016,0.08855,0.09232,0.16588,0.16711,0.058752,0.21038,0.12985,1.527,0.74599,3.1858105587954872
3536.0,0.056444,110.34,17.598,0.0886,0.091341,0.16566,0.16651,0.059317,0.21056,0.13039,1.4698,0.80779,3.1899365086838007
3578.2,0.056586,109.04,17.344,0.088619,0.091724,0.16575,0.16674,0.059076,0.21034,0.13014,1.4746,0.80656,3.193576591113719
3476.5,0.056722,109.72,17.328,0.088453,0.091801,0.16581,0.1668,0.059086,0.21091,0.1301,1.4892,0.79317,3.1953114324514384
