Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
1160.7,1.8054,171.05,7.4666,0.24292,0.13141,0.11836,0.08259,1.1822,0.092935,0.096373,0.22724,0.06091,2.2349405401851126
1159.9,1.8278,172.19,7.6363,0.24277,0.13074,0.11871,0.0825,1.1872,0.093176,0.096202,0.22708,0.060198,2.2385285404103974
1152.8,1.8142,175.24,7.5439,0.24335,0.13119,0.11858,0.082665,1.1886,0.092958,0.096309,0.22713,0.06085,2.241662270065474
1177.5,1.7784,181.16,7.6585,0.24343,0.13103,0.11879,0.082512,1.193,0.092742,0.096107,0.22682,0.06082,2.2452663387573537
1214.9,1.7762,180.94,7.6111,0.24332,0.1314,0.11856,0.082572,1.21,0.092481,0.096091,0.22684,0.061194,2.262499439191382
1181.8,1.867,177.74,7.9617,0.24226,0.13016,0.11913,0.082241,1.2178,0.092994,0.095914,0.22673,0.059375,2.266649242283602
1188.3,1.8605,175.88,7.8321,0.24251,0.13046,0.11891,0.082426,1.2228,0.093001,0.09602,0.22689,0.059805,2.272876239041246
1180.7,1.875,164.73,7.7147,0.24167,0.13033,0.11869,0.082336,1.2283,0.093397,0.096111,0.22713,0.059399,2.2773283181041464
1148.3,1.7242,184.48,7.4581,0.24415,0.13182,0.11855,0.082599,1.2262,0.092442,0.096314,0.22689,0.06186,2.2808106922612774
1182.3,1.8781,164.45,7.6167,0.24189,0.13075,0.11848,0.082481,1.2355,0.093227,0.09623,0.22726,0.059858,2.2856364515615564
