Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1491.4,0.16728,124.03,8.4411,0.064974,0.12881,0.15139,0.089827,0.066607,0.055266,0.5568684998963992
1489.2,0.16722,124.04,8.2015,0.064693,0.12888,0.15387,0.090134,0.066741,0.055216,0.5595346564503091
1490.7,0.16618,124.67,8.1819,0.064655,0.12886,0.15505,0.090163,0.066751,0.055216,0.5606922044241549
1489.8,0.16677,124.79,8.1796,0.06465,0.12886,0.15519,0.090168,0.066751,0.055213,0.560832203287182
1488.6,0.16764,124.53,8.1017,0.064568,0.12892,0.15544,0.090265,0.066791,0.055192,0.5611741163427793
1483.5,0.16754,124.05,8.2022,0.064693,0.12888,0.15628,0.09013,0.06674,0.055221,0.5619455564154336
1502.8,0.16299,125.12,8.4451,0.064955,0.12873,0.15745,0.089826,0.066607,0.055276,0.56284365908309
1436.2,0.17541,123.93,7.7004,0.064066,0.12922,0.15672,0.090789,0.067033,0.055099,0.5629271868263103
1441.0,0.17561,123.32,7.7417,0.064139,0.12923,0.15675,0.090725,0.067006,0.055103,0.5629485685314286
1436.4,0.17527,123.91,7.7167,0.064091,0.12921,0.15682,0.090764,0.06702,0.055105,0.563007657179043
