iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,213.62,2.2875,132.86,4.7097,5.1997e-05,0.11559561188267378,0.07549956556627616,0.1396278700050008
2,289.66,0.68346,99.173,9.7593,3.3909e-05,0.2803658576088605,0.07295708944374421,0.3035888204459994
3,770.54,0.50429,163.98,3.6285,5.3436e-05,0.12121189940168559,0.08018919435792507,0.1467369127309266
4,279.11,2.161,142.54,4.9653,7.6373e-05,0.08783092576511509,0.07496912175241881,0.11169433837742626
5,458.04,0.81701,121.26,10.728,6.5902e-05,0.041552228949951184,0.07287161516444897,0.06474798447897592
6,413.87,0.85403,125.26,11.311,7.3476e-05,0.026143203498583952,0.07285333253855503,0.04933313948704125
7,391.99,0.95159,122.01,11.07,7.4159e-05,0.030593748937240373,0.07279831727524678,0.053766173023495664
8,417.57,0.86294,121.44,14.099,7.2814e-05,0.03608458932801572,0.07294230664212983,0.05930284665325523
9,435.23,0.81769,129.16,8.9272,8.8183e-05,0.03333670354644352,0.07298804486640881,0.05656951980064751
10,528.28,0.61173,127.76,11.936,6.9516e-05,0.025210246458633494,0.07304621371822033,0.048461578433437055
11,449.28,0.79001,121.12,11.367,7.3608e-05,0.025315854469165427,0.07289489293762492,0.04851901954352042
12,1391.4,0.52126,116.35,7.0899,8.9296e-05,0.5382861500635738,0.07400262357563835,0.5618419167512372
