param_type,param_name,out_l_bound,in_u_bound,base,out_u_bound,in_l_bound
input,cp_tau_s,0,3.597234326127346,10,1,-0.3415879010399083
input,cp_b,0,0.9780287001602108,10,1,-3.9082275585803163
input,cp_tau_0,0,2.6952454221598394,10,1,-1.374378918575092
input,cp_n,0,1.297957375810109,10,1,0.06636320225849458
input,average_strain,0,-0.5430118227154347,10,1,-4.520611864004139
output,average_stress,0,3.906448180715921,10,1,-1.1178797774270102
output,g39_phi_1,0,-0.18310278101751212,10,1,-0.2562316170202133
output,g39_Phi,0,0.27857070161051595,10,1,0.2708883646988325
output,g39_phi_2,0,0.4470494441477784,10,1,0.43277694076486
output,g50_phi_1,0,0.2206048878266815,10,1,0.16776026643562975
output,g50_Phi,0,0.3438613632886385,10,1,0.3360192119516659
output,g50_phi_2,0,0.5149725425040592,10,1,0.5042941182947331
output,g138_phi_1,0,-0.3102561761574331,10,1,-2.2977332165486684
output,g138_Phi,0,0.4308326351472177,10,1,0.42081358182567913
output,g138_phi_2,0,0.36735592102601894,10,1,0.3094598224612111
output,g164_phi_1,0,-0.45255760162997444,10,1,-0.7160433005651812
output,g164_Phi,0,0.38232328338198107,10,1,0.36114208775333284
output,g164_phi_2,0,0.5368739489289612,10,1,0.5273978715204672
output,g185_phi_1,0,-0.11905499637803017,10,1,-0.3529301477662135
output,g185_Phi,0,0.38932559181749277,10,1,0.3635931788582703
output,g185_phi_2,0,0.45856231298199357,10,1,0.4333377239630525
output,g223_phi_1,0,0.6703200851026617,10,1,0.6246326909204706
output,g223_Phi,0,0.4757002371510284,10,1,0.44916973216520095
output,g223_phi_2,0,0.7981670597159392,10,1,-3.406259933785764
output,g243_phi_1,0,0.39044050664752566,10,1,0.3741248601797271
output,g243_Phi,0,0.35318506286354584,10,1,0.3425805773816271
output,g243_phi_2,0,0.5819041682211966,10,1,0.5740775900019777
output,g238_phi_1,0,-0.08897030049378811,10,1,-0.11950653213462177
output,g238_Phi,0,0.3055448238949773,10,1,0.27925617733850705
output,g238_phi_2,0,0.5387998699649996,10,1,0.5277587525209719
