Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g190),Error (g237),Error (g60),Error (g79),Error (curve),Error (g215),Error (g278),Error (g189),Error (g178),Reduced Error
477.55,1.1614,114.05,9.6778,0.2973,0.11313,0.13274,0.1081,0.37481,0.12244,0.10307,0.24348,0.054992,1.550079818204077
477.75,1.1634,113.96,9.7029,0.29711,0.11313,0.13273,0.10805,0.37783,0.1224,0.10307,0.24347,0.054908,1.5526853553557634
479.38,1.1762,113.86,9.4087,0.29949,0.11334,0.13277,0.10896,0.39741,0.12268,0.1032,0.24385,0.055955,1.577652746139412
480.07,1.1609,113.69,9.9559,0.29489,0.1129,0.13275,0.10719,0.41176,0.12205,0.10296,0.24316,0.053845,1.5814995215117207
477.19,1.1637,114.14,9.9553,0.29471,0.11308,0.13257,0.10719,0.41422,0.1219,0.10292,0.24307,0.054019,1.5836875404880344
476.18,1.1483,115.02,9.6243,0.29731,0.11323,0.13269,0.10799,0.40987,0.1224,0.10299,0.24331,0.055159,1.5849478260754477
477.17,1.1475,111.36,9.5362,0.30082,0.11242,0.13349,0.10942,0.40876,0.12412,0.10349,0.24461,0.055367,1.5924751523071894
464.52,1.1428,114.82,9.4874,0.29948,0.11341,0.13259,0.10902,0.42016,0.12314,0.10314,0.24381,0.056217,1.6009671860052008
477.41,1.15,114.97,9.8191,0.29551,0.11314,0.13262,0.10733,0.43656,0.12203,0.10289,0.24303,0.054417,1.607527160011032
484.24,1.1596,114.86,9.679,0.29631,0.11315,0.13274,0.10753,0.44993,0.12197,0.10293,0.2431,0.05464,1.622307227974162
