iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.2958053295006507,0.08861172622799462,0.3240113179908329
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.05061681805291903,0.08405505735916075,0.07737237379408549
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.16710704376313779,0.0779417948127765,0.19191668759895303
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.15942949872334503,0.07377578842507435,0.18291306154004985
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.1938824921477128,0.07231328412297441,0.21690052538647292
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.0215347775592676,0.07299235316529247,0.0447689651875989
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.04412992507385933,0.07295282043454819,0.06735152904316688
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.029873276666978553,0.07313188591031788,0.0531518789474978
9,494.02,0.50636,99.313,12.387,4.517e-06,0.018197837006103598,0.07318740504365695,0.04149411157563703
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.01785741069751029,0.0730702189974646,0.041116383790017905
11,455.66,0.58146,102.25,13.326,8.357e-06,0.017462501970588098,0.07314086196763633,0.040743961418890765
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.018063955262162402,0.0731168672457434,0.04133777695327032
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.02216664942219677,0.07308223377795806,0.04542944693811578
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.05813642391646196,0.07314848829887671,0.08142031090139376
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.016320344411940312,0.07312437522883344,0.03959655596829109
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.01789490343385669,0.07302711850865823,0.04114015721467788
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.017819776548842543,0.07306154564476729,0.04107598882744025
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.017758300764958948,0.07308775683709277,0.041022856325202514
19,302.32,0.50201,75.631,12.165,7.615e-08,0.0413906157315914,0.07288777646383776,0.06459151556198517
20,449.93,0.5193,98.884,15.039,2.9988e-06,0.019626046052151996,0.07311439478884946,0.04289908073578741
21,454.84,0.51094,99.596,13.087,2.7388e-06,0.016695909307516306,0.07309693412206503,0.039963386088294875
22,465.06,0.50021,100.15,13.338,2.7635e-06,0.015751801764217123,0.07310998665250462,0.03902343329447433
