Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
714.67,0.35745,125.86,19.996,0.084935,0.069634,0.18236,0.055715,0.12924,0.062033,0.5839149140902318
714.61,0.3574,125.93,20.0,0.084942,0.069625,0.18244,0.055717,0.12924,0.062032,0.5839927902914881
715.35,0.35924,124.88,19.959,0.084842,0.069755,0.18251,0.05569,0.12927,0.062034,0.5841015907144615
712.57,0.36041,124.95,19.985,0.084852,0.069745,0.18298,0.055693,0.12929,0.062039,0.5845953638918543
712.85,0.3602,124.96,19.979,0.084851,0.069745,0.18309,0.055691,0.12928,0.06204,0.5846983160840779
716.43,0.35728,126.06,19.997,0.08496,0.069604,0.1832,0.055728,0.12925,0.062017,0.5847490161787122
713.43,0.35747,125.9,20.0,0.084936,0.069632,0.18323,0.055711,0.12922,0.062041,0.5847787846553935
713.11,0.35747,125.94,19.999,0.084939,0.069627,0.1836,0.05571,0.12922,0.062042,0.585134025441664
718.99,0.3595,125.22,19.988,0.084891,0.069701,0.18353,0.055725,0.12934,0.061995,0.5851812313571724
729.15,0.35365,123.75,19.808,0.084798,0.069833,0.18351,0.055694,0.12935,0.062002,0.585185023621869
