Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1432.3,0.17542,121.2,10.872,0.067051,0.12705,0.15864,0.08766,0.06488,0.055223,0.5605064373627205
1437.1,0.17507,121.2,10.889,0.067058,0.12705,0.15883,0.087654,0.064864,0.055229,0.5606838539553886
1432.3,0.1772,120.24,10.795,0.066977,0.12712,0.15914,0.087728,0.064919,0.05522,0.561104487299301
1443.4,0.17259,121.14,10.914,0.067094,0.12709,0.16111,0.087647,0.064865,0.055248,0.5630583504545663
1419.2,0.17755,120.3,10.921,0.066991,0.12703,0.16132,0.087742,0.064846,0.055234,0.5631643000983775
1421.0,0.17609,121.08,11.004,0.067061,0.12698,0.16172,0.087678,0.064805,0.055242,0.5634884443786373
1428.5,0.1771,120.43,11.07,0.067023,0.12697,0.1625,0.08772,0.064737,0.055266,0.5642138455967254
1467.7,0.16898,121.32,11.58,0.067212,0.12684,0.16355,0.087596,0.064431,0.055395,0.5650227713338299
1418.2,0.17608,120.53,10.79,0.067005,0.12712,0.16448,0.087726,0.064955,0.055213,0.5664977092719361
1421.6,0.17836,120.64,10.695,0.06696,0.1271,0.16475,0.08772,0.064989,0.055182,0.5667012349823557
