param_type,param_name,out_l_bound,in_u_bound,out_u_bound,base,in_l_bound
input,cp_tau_s,0,3.59286486307962,1,10,2.4945719842301983
input,cp_b,0,0.9949503120313088,1,10,-0.4891066216344718
input,cp_tau_0,0,2.6770591773921613,1,10,0.8507258587476276
input,cp_n,0,1.2655253352190736,1,10,0.49172578815571333
input,average_strain,0,-0.5410148542889871,1,10,-2.0786361144493792
output,average_stress,0,3.963551733574096,1,10,1.6270789636107217
output,g39_phi_1,0,-0.1814442207021974,1,10,-0.2052123029238363
output,g39_Phi,0,0.27838772520928257,1,10,0.2711675789480878
output,g39_phi_2,0,0.44692531124274865,1,10,0.4334818083929845
output,g50_phi_1,0,0.2861869169410378,1,10,0.16625245195416022
output,g50_Phi,0,0.3410188275560436,1,10,0.33593906903172943
output,g50_phi_2,0,0.5143086256567757,1,10,0.5032594025908621
output,g138_phi_1,0,-0.3485959813305617,1,10,-2.19093883174312
output,g138_Phi,0,0.429671548617864,1,10,0.42069820290880705
output,g138_phi_2,0,0.35841078620633654,1,10,0.31152076244804877
output,g164_phi_1,0,-0.4887050053037301,1,10,-0.7342626356825092
output,g164_Phi,0,0.3817466506504528,1,10,0.36133112513853355
output,g164_phi_2,0,0.5375420653268087,1,10,0.5281193338930464
output,g185_phi_1,0,-0.10630480158413697,1,10,-0.34961475774081546
output,g185_Phi,0,0.38914835769737743,1,10,0.3658248068593644
output,g185_phi_2,0,0.4587586793754314,1,10,0.43370584475694335
output,g223_phi_1,0,0.6696143680214659,1,10,0.6245089837941394
output,g223_Phi,0,0.4755549735841313,1,10,0.4531959863395364
output,g223_phi_2,0,0.7980357077652374,1,10,-2.2004940365349333
output,g243_phi_1,0,0.3907938501556699,1,10,0.3744183767791589
output,g243_Phi,0,0.35264551866897115,1,10,0.3422252293607903
output,g243_phi_2,0,0.5810389487721671,1,10,0.5749798882139895
output,g238_phi_1,0,-0.0925886392254138,1,10,-0.11423746924090476
output,g238_Phi,0,0.30213603698871866,1,10,0.27943878828702046
output,g238_phi_2,0,0.5332126298512556,1,10,0.5270366903931603
