Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1986.3,0.11976,124.0,20.0,0.13106,0.19368,0.055941,0.083998,0.071515,0.062074,0.5982665402328982
1986.1,0.1197,124.3,19.998,0.13103,0.19393,0.055947,0.084029,0.071474,0.062068,0.5984778345141345
1986.3,0.1194,124.18,19.996,0.13102,0.19401,0.055942,0.084019,0.071484,0.062077,0.5985531181602383
1984.8,0.11981,123.86,19.997,0.13106,0.19399,0.055933,0.083981,0.071535,0.062079,0.5985771785924255
1994.7,0.1188,124.59,19.998,0.13102,0.19448,0.05597,0.08408,0.071413,0.062066,0.5990269816777799
1999.9,0.11942,124.16,20.0,0.13112,0.19442,0.055975,0.084025,0.071496,0.062058,0.5990952325587247
2000.0,0.11949,124.05,20.0,0.13113,0.1945,0.055973,0.084011,0.071514,0.062059,0.5991864372642198
1987.2,0.11999,123.57,19.998,0.13111,0.1947,0.055933,0.083949,0.071581,0.062079,0.5993513126908193
2000.0,0.11956,124.07,20.0,0.13113,0.19469,0.055974,0.084012,0.071513,0.062058,0.5993805641114935
1999.7,0.11943,123.91,19.994,0.13113,0.19473,0.055966,0.083992,0.071537,0.062066,0.5994183722663555
