Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
326.73,2.6499,74.491,12.787,0.15519,0.11711,0.11974,0.055601,0.15042,0.13902,1.8946,0.084003,0.45534,3.1709701402646626
319.73,2.5936,77.279,12.621,0.15564,0.11658,0.11943,0.055996,0.1501,0.14057,1.8992,0.084651,0.46766,3.189820399293357
319.24,2.5143,76.682,12.757,0.15563,0.11661,0.11956,0.055875,0.15053,0.14076,1.9023,0.085453,0.46466,3.1913560197797954
319.46,2.4934,76.669,12.754,0.15563,0.11661,0.11956,0.055859,0.15057,0.1408,1.9041,0.085511,0.4642,3.1927988400993614
323.04,2.5677,78.381,12.743,0.15572,0.11648,0.11945,0.056055,0.15031,0.14168,1.885,0.085204,0.48557,3.195409948639875
319.45,2.4928,77.095,12.754,0.15567,0.11655,0.11954,0.055909,0.15055,0.14108,1.9026,0.085595,0.46972,3.1971820471950663
322.04,2.5055,78.935,12.549,0.15577,0.1164,0.11935,0.056115,0.15014,0.14169,1.8879,0.084889,0.48546,3.197710929932783
318.96,2.4976,77.061,12.754,0.15568,0.11654,0.11954,0.055914,0.15054,0.14105,1.9067,0.0856,0.47109,3.2026972066030135
318.38,2.5311,76.319,13.098,0.15567,0.11661,0.11983,0.055836,0.15097,0.14149,1.8815,0.086638,0.49687,3.205448144300358
319.53,2.4926,77.265,12.638,0.15567,0.11654,0.11948,0.055938,0.15037,0.14087,1.9123,0.085173,0.46986,3.2062332508419242
