Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1994.6,0.14567,124.79,3.7178,0.11233,0.11802,0.10415,0.076234,0.042192,0.14782,0.1455,0.24405,0.29179,1.2820870086003961
1997.8,0.14533,124.89,3.7022,0.11231,0.11828,0.104,0.076575,0.042406,0.14799,0.14564,0.24394,0.29197,1.2831103618626938
1993.3,0.14704,124.78,3.7168,0.11233,0.11801,0.1042,0.076267,0.042179,0.14783,0.1455,0.24405,0.29312,1.283484697834274
1995.6,0.14576,124.65,3.7075,0.11232,0.11817,0.10408,0.076464,0.042317,0.14794,0.14558,0.24398,0.29457,1.2854331569140125
1999.3,0.14565,124.4,3.7183,0.11233,0.118,0.10418,0.076233,0.042174,0.14782,0.1455,0.24406,0.29554,1.2858301038180906
1994.7,0.14538,124.59,3.7179,0.11233,0.11801,0.10416,0.076228,0.042185,0.14782,0.1455,0.24405,0.29743,1.287707318775685
1999.3,0.14583,124.79,3.7653,0.11234,0.11728,0.10456,0.075225,0.041609,0.1473,0.14513,0.24435,0.30056,1.28835065476108
1994.7,0.14523,124.68,3.7029,0.11232,0.11825,0.10402,0.076557,0.042384,0.14799,0.14562,0.24395,0.29917,1.2902647027427492
1994.6,0.14762,124.48,3.7746,0.11235,0.11708,0.10471,0.075046,0.041442,0.14719,0.14503,0.24444,0.30549,1.2927833862886668
1979.0,0.14728,124.5,3.7034,0.11234,0.11817,0.10414,0.076549,0.042312,0.14797,0.14559,0.24399,0.30334,1.2943862128303367
