Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1990.1,0.031657,193.89,16.08,0.099155,0.12935,0.10824,0.074287,0.055084,0.12283,0.14452,0.23034,1.1143,2.0781497960623554
1964.2,0.032423,190.93,16.078,0.099176,0.12905,0.10698,0.07377,0.054663,0.12236,0.14421,0.23059,1.1336,2.0944304459297696
1962.5,0.032704,191.08,16.078,0.099183,0.12898,0.10677,0.073642,0.054582,0.12221,0.14415,0.23065,1.1405,2.1006955397416673
1970.3,0.03268,187.41,16.078,0.0992,0.12878,0.10578,0.072919,0.054242,0.12165,0.14392,0.23077,1.1499,2.107184464415462
1964.7,0.032135,190.64,16.17,0.099156,0.12917,0.10753,0.074293,0.054867,0.12284,0.14432,0.23054,1.1461,2.1088340823665304
1958.1,0.033311,186.68,16.163,0.099207,0.12862,0.10543,0.072974,0.054125,0.12163,0.14378,0.23093,1.1637,2.1203499157407464
1931.5,0.03282,186.79,16.097,0.099187,0.12884,0.10595,0.073532,0.054335,0.1222,0.14396,0.2308,1.1691,2.1279119464349137
1919.0,0.033653,185.01,16.077,0.099218,0.12853,0.10474,0.072837,0.053919,0.12154,0.14366,0.23103,1.1838,2.1392511794797575
1931.8,0.033886,184.16,16.077,0.099236,0.12837,0.10418,0.072303,0.05371,0.12107,0.14351,0.23112,1.1871,2.1406324075046497
1939.6,0.032673,184.06,16.183,0.099186,0.12877,0.10561,0.073387,0.054231,0.12212,0.14385,0.23086,1.1937,2.1516778207093097
