Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
512.89,0.81243,370.01,3.6945,0.14775,0.085765,0.09579,0.18012,0.22596,0.11793,0.72424,0.22774,0.090757,1.8960352690715503
493.09,0.85371,368.58,3.7031,0.1494,0.084024,0.095615,0.1792,0.22412,0.11756,0.76629,0.2219,0.089449,1.927562223874001
512.67,0.82068,368.71,3.7181,0.14787,0.08546,0.095794,0.18004,0.22558,0.11789,0.75887,0.22671,0.09051,1.9287267768567737
517.65,0.81546,369.25,3.6127,0.14808,0.0855,0.095647,0.17984,0.22656,0.11807,0.7786,0.22769,0.090555,1.9505380827695824
515.67,0.82519,368.58,3.7438,0.14771,0.085465,0.095836,0.18009,0.22561,0.11791,0.7839,0.22678,0.090518,1.9538135084651884
515.72,0.81651,370.77,3.7214,0.14752,0.085872,0.095847,0.18018,0.2261,0.11794,0.79406,0.22808,0.090861,1.9664697355959964
516.87,0.80657,368.69,3.6608,0.14776,0.085818,0.095742,0.18014,0.22622,0.11805,0.79883,0.22826,0.090751,1.9715637330585836
512.65,0.84095,368.99,3.7186,0.14819,0.084929,0.095757,0.17971,0.22542,0.1178,0.82485,0.22518,0.090163,1.992006679211368
512.85,0.85031,368.7,3.7017,0.14845,0.084606,0.095708,0.1795,0.22538,0.11779,0.85322,0.22435,0.089932,2.018933787129381
527.81,0.81805,370.73,3.766,0.14693,0.086272,0.095959,0.18044,0.22664,0.11815,0.86139,0.22969,0.091146,2.036621958271988
