Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
679.61,0.016386,184.33,14.066,0.16888,0.088531,0.079079,0.2175,0.067621,0.081606,0.7032187311977122
679.83,0.016144,183.1,14.07,0.16898,0.088659,0.079011,0.2177,0.067681,0.081691,0.7037283323558937
669.06,0.016421,193.54,14.037,0.16932,0.088038,0.079492,0.22074,0.067675,0.081483,0.7067451806545514
687.75,0.016104,178.71,14.173,0.16881,0.089041,0.078716,0.2232,0.06767,0.081783,0.7092263345380312
675.92,0.016378,191.55,14.045,0.16922,0.088151,0.079386,0.22731,0.067653,0.081487,0.7132102997535151
676.23,0.015988,184.78,14.066,0.16918,0.088623,0.079072,0.22829,0.067742,0.081727,0.7146325288783639
686.19,0.016248,184.36,13.186,0.16859,0.086907,0.080162,0.23215,0.067429,0.080978,0.7162250164465898
667.92,0.016571,184.29,13.985,0.1688,0.088373,0.079201,0.23214,0.06761,0.081597,0.7177240820791904
736.09,0.012965,183.87,14.249,0.17113,0.089765,0.078491,0.2284,0.068419,0.08232,0.7185244058311762
679.14,0.017085,180.0,14.064,0.16825,0.088561,0.078969,0.23529,0.067436,0.08151,0.7200148569707921
