Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g59),Error (g237),Error (curve),Error (g63),Error (g86),Reduced Error
703.11,0.26947,146.32,19.896,0.060735,0.06123,0.096154,0.2674,0.12779,0.057338,0.6706501065170503
710.57,0.26847,144.1,19.897,0.060683,0.061223,0.096267,0.26944,0.12774,0.057348,0.6727044366317317
710.74,0.26507,143.9,19.854,0.060632,0.061282,0.096377,0.27838,0.12756,0.057313,0.6815431418634813
696.98,0.2697,150.12,19.938,0.060733,0.061187,0.096196,0.27885,0.12806,0.057442,0.6824690894618284
690.9,0.2718,150.38,19.942,0.060807,0.061196,0.09602,0.28148,0.12808,0.057396,0.684978757905909
691.1,0.2741,149.55,19.942,0.060858,0.061189,0.095896,0.28321,0.12806,0.057358,0.6865655261928143
693.49,0.26883,150.75,19.997,0.060706,0.061158,0.096283,0.28398,0.1283,0.057529,0.6879535278010569
705.05,0.26766,149.18,19.886,0.060674,0.061211,0.096317,0.28479,0.12784,0.057416,0.6882490843939342
685.14,0.27219,150.32,19.942,0.060853,0.061221,0.095908,0.29046,0.12806,0.057349,0.6938572963113886
706.39,0.27091,146.35,19.88,0.06075,0.061216,0.096112,0.2919,0.12774,0.057324,0.6950437032104058
