Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
437.44,0.5168,99.471,12.45,2.8377e-06,0.064428,0.088256,0.055099,0.12708,0.066671,0.2645,0.6660355450901592
436.61,0.5168,99.749,12.441,2.825e-06,0.06444,0.088294,0.055092,0.12704,0.066629,0.26526,0.6667505415918614
437.2,0.51535,99.386,12.452,2.7216e-06,0.064451,0.088247,0.05508,0.12704,0.066663,0.2658,0.6672773436524033
450.53,0.50789,98.823,12.56,2.8257e-06,0.06436,0.08795,0.05514,0.12733,0.066983,0.26569,0.6674465215140044
434.51,0.51794,99.782,12.431,2.8054e-06,0.064452,0.088333,0.055083,0.127,0.066587,0.26693,0.6683779137223343
435.41,0.51794,99.895,12.432,2.7932e-06,0.064453,0.088324,0.055083,0.12699,0.066592,0.26717,0.6686118434527168
435.07,0.51768,99.724,12.421,2.859e-06,0.064447,0.088333,0.055091,0.12702,0.066595,0.26799,0.6694830503013496
452.27,0.51691,101.37,15.526,2.8739e-06,0.063402,0.08664,0.055325,0.12798,0.068183,0.27012,0.6716498317885724
435.36,0.51777,100.18,12.499,2.7419e-06,0.064436,0.088297,0.055078,0.12697,0.066609,0.27052,0.6719115664556106
474.33,0.50107,101.21,11.561,4.2315e-06,0.064841,0.08861,0.0551,0.12702,0.066356,0.2704,0.6723281256098633
