Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.022613,4.4997e-07,795.67,473.94,179.44,794.36,82.578,3.1739,0.36701,0.1358,0.043869,0.11646,0.11758,0.093043,0.052471,0.2236,0.078918,1.2287589983656022
2.1838e-05,0.0011071,685.15,474.13,73.692,776.41,79.302,2.0919,0.3614,0.14326,0.045359,0.12036,0.10687,0.10546,0.056408,0.22736,0.076389,1.2428650910089338
18.924,0.0012458,670.36,475.36,115.74,764.56,72.228,1.5799,0.28353,0.14036,0.037884,0.11445,0.12775,0.13636,0.097828,0.22956,0.11279,1.2805169958064004
18.791,0.0011638,678.23,475.36,117.61,768.22,73.387,1.5285,0.27552,0.14116,0.037865,0.11478,0.12844,0.1393,0.10033,0.23013,0.11462,1.2821512280308982
18.988,0.0013337,662.47,477.6,118.74,777.14,73.34,1.5346,0.28218,0.14106,0.037826,0.11466,0.12855,0.13739,0.10015,0.23002,0.11459,1.2864293582512056
18.524,0.0011804,667.58,476.07,117.7,768.2,73.416,1.5274,0.28242,0.14117,0.037886,0.11477,0.1284,0.13889,0.1003,0.2301,0.11463,1.2885874636848742
18.776,0.0010624,676.95,475.41,119.53,794.82,75.109,1.5325,0.28362,0.14115,0.037561,0.11456,0.1293,0.13688,0.10081,0.23011,0.1151,1.2890986779629783
16.888,3.319e-05,795.06,391.02,181.01,769.34,79.661,1.9633,0.36061,0.13824,0.038772,0.11517,0.12298,0.10271,0.086267,0.22786,0.10248,1.295094654875
19.158,0.0011828,667.57,476.07,118.95,787.3,73.44,1.5262,0.30048,0.14119,0.037661,0.11462,0.12909,0.13819,0.10081,0.23013,0.11511,1.3072738354327036
0.0010621,0.0014162,797.93,477.68,74.99,775.8,89.763,2.182,0.42563,0.14043,0.044037,0.11786,0.11148,0.10899,0.05721,0.2261,0.079353,1.311094443591301
