Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.099211,23.475,545.15,663.28,131.02,512.68,71.993,13.962,0.03028,0.44645,0.10301,0.14493,0.2249,0.071105,0.051173,0.10449,0.15965,1.3359803955067653
0.099211,23.475,545.15,663.28,131.02,512.68,71.993,13.716,0.030468,0.45925,0.10295,0.14488,0.22483,0.070795,0.050922,0.10455,0.15961,1.348257632120286
0.11613,23.64,545.8,660.87,131.91,570.22,69.748,16.265,0.029379,0.4706,0.10316,0.14579,0.22379,0.07345,0.055164,0.10251,0.16115,1.3649857979735804
0.077989,23.478,558.48,666.15,134.95,512.67,71.975,13.717,0.030429,0.47907,0.10271,0.14452,0.22479,0.070245,0.05043,0.10436,0.15999,1.3665424618628865
0.32047,23.778,544.45,668.73,135.58,524.86,71.782,13.509,0.031169,0.48092,0.10263,0.14524,0.22478,0.07028,0.051007,0.10509,0.15812,1.3692366526282784
0.078912,23.445,556.02,665.91,134.88,513.06,69.968,13.936,0.030162,0.48202,0.1028,0.14496,0.22486,0.070439,0.050951,0.10414,0.16054,1.3708670430787482
0.41735,22.931,569.0,641.07,129.55,490.38,71.827,13.718,0.029382,0.4828,0.10477,0.14609,0.22623,0.071039,0.051019,0.10559,0.15892,1.375830518064236
0.29453,24.365,567.53,662.75,125.19,512.53,71.537,13.723,0.029913,0.49625,0.10301,0.14555,0.22536,0.070981,0.051272,0.1048,0.15969,1.386830629739831
0.079286,23.831,568.37,715.77,133.69,504.88,75.871,13.598,0.03141,0.50416,0.10255,0.14325,0.22476,0.070093,0.049295,0.10508,0.15833,1.3889257617980717
0.077366,23.976,558.77,725.54,134.72,510.18,76.642,13.705,0.031827,0.50823,0.10253,0.14304,0.22448,0.0703,0.049451,0.10515,0.15764,1.3926554190815374
