Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829684
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829689
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829694
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829713
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829736
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829737
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829737
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829743
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829748
1731.0,0.23434,161.16,2.7795,0.012244,0.012243968321829751
