Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1872.3,0.17784,151.36,5.9804,0.12962,0.10097,0.060561,0.03417,0.111,0.2912,0.13385,0.21839,0.046862,1.126637060636871
1869.2,0.17685,151.3,6.0674,0.12989,0.10108,0.060045,0.033752,0.11095,0.29314,0.13382,0.2184,0.046978,1.128068348947603
1871.4,0.17644,150.92,6.0677,0.1299,0.10107,0.060041,0.033747,0.11095,0.29348,0.13382,0.21841,0.046974,1.1283909987543983
1861.3,0.17682,151.75,6.0594,0.12985,0.10107,0.060076,0.033774,0.11097,0.29351,0.13381,0.21842,0.046998,1.1284822258520992
1868.9,0.17663,151.25,6.0769,0.12992,0.10109,0.059987,0.033705,0.11095,0.29364,0.13382,0.21841,0.046992,1.1285100572368032
1870.2,0.17649,151.2,6.0804,0.12993,0.10109,0.059967,0.033689,0.11094,0.29393,0.13382,0.21841,0.046995,1.1287685593148076
1870.2,0.17638,151.01,6.0779,0.12993,0.10109,0.059979,0.033699,0.11094,0.29415,0.13382,0.21841,0.04699,1.1289961567769593
1854.1,0.17711,151.5,6.0218,0.12975,0.10102,0.060281,0.03394,0.11099,0.29389,0.13383,0.21842,0.046956,1.1290656790718758
1830.6,0.18207,151.51,5.8768,0.12936,0.10083,0.061158,0.034702,0.11106,0.29341,0.13391,0.2184,0.046715,1.129545396939944
1892.7,0.17585,151.18,6.0348,0.12976,0.10104,0.06026,0.03391,0.11097,0.29477,0.13382,0.21839,0.046932,1.129859889915107
