Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
715.73,0.37902,119.21,11.122,0.12804,0.066995,0.087921,0.30055,0.05519,0.064912,0.7036111050526016
716.51,0.37904,120.15,9.5428,0.12762,0.065583,0.089376,0.30026,0.054937,0.066044,0.7038204313037685
717.71,0.37919,120.17,9.5645,0.12762,0.065609,0.089348,0.30028,0.054941,0.066024,0.7038227156933897
718.29,0.37815,120.12,9.497,0.12761,0.065544,0.089423,0.30061,0.054929,0.066081,0.7041993196187059
724.33,0.37429,120.18,9.4784,0.12761,0.065532,0.089445,0.30081,0.054929,0.066104,0.7044347470911992
720.94,0.37822,119.92,9.4766,0.12763,0.065546,0.08943,0.30102,0.05492,0.066093,0.7046311047893489
718.77,0.37708,120.54,9.4879,0.12759,0.065511,0.089451,0.30111,0.054935,0.066095,0.7046922843133373
721.03,0.37828,119.92,9.4865,0.12763,0.065558,0.089417,0.30111,0.054921,0.066084,0.7047185703353197
716.55,0.38159,119.67,9.5377,0.12765,0.065616,0.08935,0.30139,0.054924,0.066034,0.7049602751120749
719.81,0.37819,119.94,9.3595,0.1276,0.06542,0.089572,0.30136,0.054897,0.066195,0.7050372755283142
